fix_identifier,state,description
ADIRE,CALIFORNIA,34-54-47.5500N 116-32-34.3900W
ADISN,OFFSHORE PACIFIC,04-01-26.0000N 175-21-09.0000W
ADIUM,NEW JERSEY,40-25-22.5000N 074-47-44.4100W
ADIVE,MISSISSIPPI,32-02-51.2600N 090-57-29.6800W
ADIXE,OKLAHOMA,35-15-26.1500N 096-25-00.3700W
ADIYI,MICHIGAN,42-07-42.7400N 086-32-56.4600W
ADJAX,NEW YORK,41-37-23.1300N 073-40-49.0600W
ADKAW,NORTH CAROLINA,36-17-29.5800N 080-21-37.2400W
ADKEW,GEORGIA,34-41-41.5200N 084-29-19.8400W
ADKUH,ALASKA,YAK*D* /4.19 YAK*LS*295.03 59-33-21.5800N 139-45-08.9700W
ADLEC,MIDWAY ISLANDS,28-27-36.0800N 178-00-09.3500W
ADLEN,,64-46-22.9500N 169-46-53.9900W
ADLER,ILLINOIS,PIA*C*345.17 GZX*LS*308.52 40-43-30.1700N 089-48-18.4700W
ADLEY,MICHIGAN,45-41-33.2900N 085-41-47.1800W
ADLIW,TEXAS,28-57-10.7400N 099-00-47.1200W
ADLMN,ILLINOIS,41-58-56.0000N 088-30-43.4500W
ADLOW,OREGON,CVO*D*356.60/16.00 44-45-27.2600N 123-11-57.5600W
ADLYN,GEORGIA,30-35-53.9700N 082-19-00.1100W
ADMCK,MICHIGAN,42-30-06.7600N 083-37-30.9800W
ADMIF,CALIFORNIA,38-01-48.7600N 120-37-32.3000W
ADMIH,CALIFORNIA,39-28-33.4300N 123-48-20.2000W
ADMRL,ALASKA,58-11-09.4100N 134-39-22.0700W
ADNIL,FLORIDA,MCF*T*223.44/6.35 27-46-36.7700N 082-35-09.7700W
ADNOY,TENNESSEE,35-55-29.4300N 085-11-39.2500W
ADNUC,COLORADO,VAZ*DD*069.95*NE CRS/3.92 39-39-04.3000N 106-51-12.7800W
